Class,Spec,ItemName,Slot,Rank,Source,Website
warlock,affliction,Helm of the Fallen Hero,head,1,Karazhan,wowtbc.gg
warlock,affliction,Spellstrike Hood,head,2,Tailoring,wowtbc.gg
warlock,affliction,Mana-Binders Cowl,head,3,Badge of Justice (50),wowtbc.gg
warlock,affliction,Hood of Oblivion,head,4,Arcatraz,wowtbc.gg
warlock,affliction,Incanter's Cowl,head,5,Mechanar,wowtbc.gg
warlock,affliction,Hydromancer's Headwrap,head,6,Quest - The Warlord's Hideout,wowtbc.gg
warlock,affliction,Mana-Etched Crown,head,7,Black Morass,wowtbc.gg
warlock,affliction,Gladiator's Dreadweave Hood,head,8,PvP,wowtbc.gg
warlock,affliction,Ritssyn's Lost Pendant,neck,1,Karazhan,wowtbc.gg
warlock,affliction,Brooch of Unquenchable Fury,neck,2,Karazhan,wowtbc.gg
warlock,affliction,Adornment of Stolen Souls,neck,3,Karazhan,wowtbc.gg
warlock,affliction,Brooch of Heightened Potential,neck,4,Shadow Labyrinth,wowtbc.gg
warlock,affliction,Hydra-fang Necklace,neck,5,Underbog (HC),wowtbc.gg
warlock,affliction,Pendant of Dominance,neck,6,PvP,wowtbc.gg
warlock,affliction,Natasha's Ember Necklace,neck,7,Quest - The Hound-Master,wowtbc.gg
warlock,affliction,Amulet of Vek'nilash,neck,8,Ahn'Qiraj,wowtbc.gg
warlock,affliction,Pauldrons of the Fallen Hero,shoulder,1,Gruul's Lair,wowtbc.gg
warlock,affliction,Frozen Shadoweave Shoulders,shoulder,2,Tailoring,wowtbc.gg
warlock,affliction,Gladiator's Dreadweave Mantle,shoulder,3,PvP,wowtbc.gg
warlock,affliction,High Warlord's Dreadweave Mantle,shoulder,4,PvP,wowtbc.gg
warlock,affliction,Spaulders of Oblivion,shoulder,5,Shadow Labyrinth,wowtbc.gg
warlock,affliction,Mana-Etched Spaulders,shoulder,6,Slave Pens (HC),wowtbc.gg
warlock,affliction,Spaulders of the Torn-heart,shoulder,7,Quest - The Cipher of Damnation - The Third Fragment Recovered,wowtbc.gg
warlock,affliction,Mantle of Three Terrors,shoulder,8,Black Morass,wowtbc.gg
warlock,affliction,Ruby Drape of the Mysticant,back,1,Karazhan,wowtbc.gg
warlock,affliction,Ancient Spellcloak of the Highborne,back,2,World Boss,wowtbc.gg
warlock,affliction,Illidari Cloak of Shadow Wrath,back,3,Auction House,wowtbc.gg
warlock,affliction,Cloak of the Necropolis,back,4,Naxxramas,wowtbc.gg
warlock,affliction,Brute Cloak of the Ogre-Magi,back,5,Gruul's Lair,wowtbc.gg
warlock,affliction,Cloak of the Devoured,back,6,Ahn'Qiraj,wowtbc.gg
warlock,affliction,Ambusher's Cloak of Shadow Wrath,back,7,Auction House,wowtbc.gg
warlock,affliction,Sethekk Oracle Cloak,back,8,Sethekk Halls,wowtbc.gg
warlock,affliction,Frozen Shadoweave Robe,chest,1,Tailoring,wowtbc.gg
warlock,affliction,Chestguard of the Fallen Hero,chest,2,Magtheridon's Lair,wowtbc.gg
warlock,affliction,Robe of the Crimson Order,chest,3,Auction House,wowtbc.gg
warlock,affliction,Auchenai Anchorite's Robe,chest,4,Quest - Everything Will Be Alright,wowtbc.gg
warlock,affliction,Warp Infused Drape,chest,5,Botanica,wowtbc.gg
warlock,affliction,Gladiator's Felweave Raiment,chest,6,PvP,wowtbc.gg
warlock,affliction,Will of Edward the Odd,chest,7,Auction House,wowtbc.gg
warlock,affliction,Robe of Oblivion,chest,8,Shadow Labyrinth,wowtbc.gg
